,lower quartile of abs(ddG),maximum dG,mean dG,size,structure,structure integer
0,0.0,2.6000000834465027,0.7486367679403703,325073,..(((.....))),69861397
1,0.0,2.0999999046325684,0.6505549535916799,222000,..((......)).,69730324
2,0.0,4.000000178813933,1.0699743707948826,765576,(((....)))...,111150400
3,0.2999999523162842,2.2000000923871994,0.570516467055308,7048,((.((...)))).,109707604
4,0.0,2.6000001430511475,0.7929345860044803,317476,..((((...)))),69894229
5,0.0,1.5,0.49084576005122815,142961,((.......))..,109051984
6,1.4156103134155273e-07,3.900000095367432,0.9613935723486614,404026,.(((.....))).,78118996
7,0.8999999463558197,2.499999903142452,0.5935824822919937,10596,((.((...)).)),109707589
8,0.0,2.6000000834465027,0.712394876779948,266586,.(((...)))...,78120256
9,0.0,2.6000000834465027,0.7156527951046804,261078,..(((...)))..,69861712
10,0.0,2.299999952316284,0.7238822815868943,304661,((......))...,109052224
11,2.384185791015625e-07,4.100000143051148,1.077580778703052,644496,((((....)))).,111673684
12,0.20000004768371582,1.899999998509884,0.5102479140942449,6938,((((...)).)).,111674644
13,0.0,1.7000000476837158,0.550105563261039,149680,..((.....))..,69730384
14,0.0,1.7000000476837158,0.5502296787039548,155002,.((.....))...,77594944
15,0.0,2.5,0.6100557955043029,247698,..((....))...,69730624
16,0.0,2.7000000923871994,0.9219489730182402,413140,((((...))))..,111674704
17,0.0,1.6000000461935997,0.7028945995218593,122573,....(((...))),67280917
18,0.0,0.10000000149011612,0.10000000149011612,7475,..((.......)),69730309
19,0.0,0.6000000238418579,0.3307239071844501,66349,.((........)),77594629
20,0.0,2.6000001430511475,0.8093652787822149,394756,.(((......))),78118933
21,5.960464477539063e-08,2.400000095367432,0.8480820423069055,305742,((((.....)))),111673429
22,0.4999999701976776,2.0999999046325684,0.6559237582891924,8027,((((....)).)),111673669
23,0.0,2.6000001430511475,0.8056357759067879,499239,...(((....))),67797013
24,0.0,1.2999999523162842,0.2877132046393832,86597,.....((....)),67149829
25,0.0,2.5999999046325684,0.6852555984089888,400369,((....)).....,109057024
26,0.0,2.5999999940395355,0.7694891972341024,364212,(((...)))....,111154432
27,0.0,2.3000000119209294,0.7391741463845943,164994,(((.......))),111149077
28,5.960464477539063e-08,2.7000001072883606,0.8877962196869431,318516,.((((...)))).,78250324
29,0.0,0.4000000059604645,0.21863095727970913,48720,....((.....)),67272709
30,1.1920928955078125e-07,2.400000095367432,0.7275199915996601,201181,(((((...))))),111804757
31,0.0,1.7999999523162842,0.6147441845915935,241112,((.....))....,109053184
32,0.0,2.0999999046325684,0.6668554032196669,198159,.((......))..,77594704
33,0.0,2.5,0.5876618351614179,293204,....((....)).,67272724
34,2.384185791015625e-07,2.700000286102295,0.9379352479692289,496786,.((((....)))),78250069
35,2.9802322387695312e-08,3.900000214576721,1.0786810788134937,528554,.(((....)))..,78119248
36,0.0,4.000000178813933,1.0539515518309515,503346,(((.....)))..,111149392
37,0.0,0.8999999761581421,0.3674254734563758,93349,...((......)),67764229
38,0.0,1.399999976158142,0.4777259633573691,97993,.((.......)).,77594644
39,0.0,1.7000000476837158,0.5303450723160594,176892,...((.....)).,67764244
40,0.40000005066394806,2.200000047683716,0.6115334355886,9182,((.((....)))),109707349
41,4.470348358154297e-08,3.900000214576721,1.026392112291583,569655,..(((....))).,69861460
42,0.0,2.5,0.6071465764716636,251715,.((....))....,77595904
43,0.0,4.000000238418578,1.0770326039069515,586427,(((......))).,111149140
44,0.0,2.0,0.7006490109674883,255007,((........)).,109051924
45,0.0,2.6000000834465027,0.685816204341704,290430,...(((...))).,67797076
46,0.30000001192092896,1.100000023841858,0.4728877041907234,1870,.((.((...)))),77758549
47,0.0,2.5,0.6053075379446554,248345,...((....))..,67764304
48,0.30000001192092896,1.2000000476837158,0.4704571499441351,1750,.((((...)).)),78250309
